Ref,Val,Package,PosX,PosY,Rot,Side
"C1","47uF-100uF","C_1206_3216Metric",17.000000,-36.000000,0.000000,top
"C2","0.1uF","C_0805_2012Metric",17.000000,-39.800000,0.000000,top
"D1","950nm IR","LED_D5.0mm_IRBlack",20.330000,-26.000000,0.000000,top
"D2","375nm UVA","LED_D5.0mm_Clear",11.130000,-26.000000,0.000000,top
"D3","RGBW 1 RIGHT","LED_D5.0mm-4_RGB_Wide_Pins",23.661499,-15.400000,0.000000,top
"D4","RGBW 2 LEFT","LED_D5.0mm-4_RGB_Wide_Pins",3.861499,-15.400000,0.000000,top
"J1","14P FFC TO MAIN","Molex_200528-0140_1x14-1MP_P1.00mm_Horizontal",17.000000,-46.500000,0.000000,top
